date,plant_id,location,waste_type,weight_tons,source,cost_per_ton_eur,collection_zone,weather,total_cost_eur,month,month_num,quarter
2026-01-01,WTE_RTM_02,Rotterdam City,Organic,418.25,Household,70.0,Central District,Dry,29277.5,2026-01,1,2026Q1
2026-01-01,WTE_RTM_01,Rotterdam Port,Plastic,239.0,Industrial,78.87478361223312,North Rotterdam,Dry,18851.07,2026-01,1,2026Q1
2026-01-01,WTE_RTM_01,Rotterdam Port,Industrial Waste,298.75,Industrial,85.0,Central District,Dry,25393.75,2026-01,1,2026Q1
2026-01-01,WTE_RTM_02,Rotterdam City,Paper/Cardboard,119.5,Municipal,65.0,South Rotterdam,Dry,7767.5,2026-01,1,2026Q1
2026-01-01,WTE_RTM_02,Rotterdam City,Metal,119.5,Municipal,80.0,Central District,Dry,9560.0,2026-01,1,2026Q1
2026-01-02,WTE_RTM_02,Rotterdam City,Organic,553.0,Household,70.0,Central District,Cloudy,38710.0,2026-01,1,2026Q1
2026-01-02,WTE_RTM_01,Rotterdam Port,Plastic,316.0,Industrial,95.0,North Rotterdam,Cloudy,30020.0,2026-01,1,2026Q1
2026-01-02,WTE_RTM_01,Rotterdam Port,Industrial Waste,395.0,Industrial,85.0,North Rotterdam,Cloudy,33575.0,2026-01,1,2026Q1
2026-01-02,WTE_RTM_02,Rotterdam City,Paper/Cardboard,158.0,Municipal,65.0,Port Area,Cloudy,10270.0,2026-01,1,2026Q1
2026-01-02,WTE_RTM_02,Rotterdam City,Metal,158.0,Municipal,80.0,South Rotterdam,Cloudy,12640.0,2026-01,1,2026Q1
2026-01-03,WTE_RTM_02,Rotterdam City,Organic,392.0,Household,70.0,Port Area,Dry,27440.0,2026-01,1,2026Q1
2026-01-03,WTE_RTM_01,Rotterdam Port,Plastic,224.0,Industrial,95.0,Central District,Dry,21280.0,2026-01,1,2026Q1
2026-01-03,WTE_RTM_01,Rotterdam Port,Industrial Waste,280.0,Industrial,85.0,South Rotterdam,Dry,23800.0,2026-01,1,2026Q1
2026-01-03,WTE_RTM_02,Rotterdam City,Paper/Cardboard,112.0,Municipal,65.0,Central District,Dry,7280.0,2026-01,1,2026Q1
2026-01-03,WTE_RTM_02,Rotterdam City,Metal,112.0,Municipal,80.0,North Rotterdam,Dry,8960.0,2026-01,1,2026Q1
2026-01-04,WTE_RTM_02,Rotterdam City,Organic,464.8,Household,70.0,Port Area,Dry,32536.0,2026-01,1,2026Q1
2026-01-04,WTE_RTM_01,Rotterdam Port,Plastic,265.6,Industrial,95.0,Central District,Dry,25232.0,2026-01,1,2026Q1
2026-01-04,WTE_RTM_01,Rotterdam Port,Industrial Waste,332.0,Industrial,85.0,Port Area,Dry,28220.0,2026-01,1,2026Q1
2026-01-04,WTE_RTM_02,Rotterdam City,Paper/Cardboard,132.8,Municipal,65.0,Port Area,Dry,8632.0,2026-01,1,2026Q1
2026-01-04,WTE_RTM_02,Rotterdam City,Metal,132.8,Municipal,78.87478361223312,South Rotterdam,Dry,10474.57,2026-01,1,2026Q1
